headline,label
China further eases foreign investment curbs,1
China opens up more of its economy to foreign companies,0
Trump DOJ plan would bar most Central Americans from asylum,0
"More than 10,000 children were killed or maimed in conflict last year while more than 8,000 youngsters were recruited or used as combatants",-1
"Iraqi PM orders immediate execution of 'all convicted terrorists' - around 300 ISIS fighters, 100 women put on death row by Iraqi government, 100s more sentenced to life imprisonment",-1
U.K. Supreme Court Rules It's Unfair To Offer Civil Unions Only To Same-Sex Couples,0
"Justin Trudeau pays tribute to ""Capital Gazette"" victims",-1
Gaza teen shot during attempted border breach said to die of wounds,-1
"Jordan gets £500m for reforms from World Bank | According to a World Bank statement, the aim is to promote economic growth, create more jobs, and expand the National Aid Fund cash transfer programme to cover an additional 85,000 households.",1
Someone Is Stealing Italy’s Most Precious Cheese,0
India preparing for 'cut in oil imports from Iran',-1
Communist rebels tell Philippine leader: No more talks,-1
Swedish government ends boycott of Russia World Cup after Sweden qualify for knockout round,-1
'Dictator' Erdogan magazine cover elicits protests in France,-1
"Spooked by Trump, Europe's Iranian oil purchases set to plummet",0
"Wealthy Canadians hiding up to $240B abroad, CRA says | CBC News",0
CO2 shortage: Why it really matters for the UK's food and drink supply,0
"A Thai court on Friday has acquitted a prominent singer of the charge of royal defamation, the second time this week a case of such a serious offence has been dropped against an activist.",1
London Underground workers to strike on the day Trump visits UK,0
Around 400 Syrian refugees in Lebanon have returned to their homeland from Arsal to Qalamoun using private buses,0
Bodies of three tiny children carried from water as migrant boat sinks in Libya - with 100 migrants feared dead,-1
Migration Deal in Europe Makes No Commitments. Victory Is Declared.,0
A detailed report by an international human rights organization has documented how migrants from Kyrgyzstan searching for work in neighboring Kazakhstan are frequently falling prey to forced labor and have become targets of mounting discrimination.,-1
Merkel urges EU deal on migration,0
"WTO ruled in favor of Australia's 'plain' tobacco packaging, saying it improves public health and doesn't infringe on industry's intellectual property rights...rejected idea plain packaging for tobacco products infringes on trademark rights, while opponents insist packaging doesn't deter smoking.",1
At least 100 feared dead after boat sinks off Libya coast,-1
Israel Will Not Accept Any Syrian Refugees On Its Territory: Defense Minister,0
"Ahead of summit, U.S. and Russia tussle to control the narrative",0
"German banking giant Deutsche Bank's American operations failed the US Federal Reserve's annual stress test due to ""widespread and critical deficiencies"" in its risk management, the central bank said",-1
"Putin, Trump to meet in Helsinki on July 16",0
Syria opposition 'in talks with Russia' over Deraa peace deal,1
"The women who killed Kim Jong Un's half-brother are highly-trained assassins like in a James Bond movie, prosecutor says",-1
Trump telling officials he wants to withdraw US from World Trade Organization: report,0
