headline,label
Friday Fun Thread!,1
Maxine Waters cancels events after receiving a ‘very serious death threat’,-1
"After shooting, will Trump stop abusing journalists? Let’s revisit that conversation about ‘civility.’",-1
Federal Court Strikes Down Kentucky’s Medicaid Work Requirement,-1
How the Supreme Court pretends to be reasonable,1
Capital Gazette publishes blank opinion page following shooting: 'Today we are speechless',0
"Alexandria Ocasio-Cortez explains democratic socialism on the ""Late Show""",0
Trump's pick to lead U.N. migration agency is rejected,-1
"Maryland shooting: Trump ducks questions over Capital Gazette killings, as president's attacks on journalists come into focus",-1
Budowsky: Obama remains AWOL for Dems,-1
Senate Republicans just rebuked Trump on family separations,0
"Twitter launches its Ads Transparency Center, where you can see ads bought by any account",0
The UN’s Migration Body Rejects Trump’s Pick to Be Its Leader,-1
Toddlers are having to appear in border courts all alone,-1
Sunday on 'This Week': Sen. Susan Collins and Sen. Amy Klobuchar,0
Court: Trump administration exceeded authority by delaying emissions penalties,0
President says journalists should be free from fear of being attacked,-1
Trump claims success with North Korea. And misstates the facts.,1
Sweeping California consumer privacy bill approved by Jerry Brown,1
Papadopoulos sentencing set for September,0
Agents Seek to Dissolve I.C.E. in Immigration Policy Backlash,0
Maria Hinojosa: Policy is a consistent 'dehumanization of people',0
"Yeah, Let's Go After the Disaster Responders",-1
Trump reportedly wants the US to withdraw from World Trade Organization,0
Mayor of a Pittsburgh suburb asked police to hose down protesters with water cannons,-1
Still digging: Jeff Sessions says Trump administration ‘never really intended’ to separate families,0
GM Warns Trump Tariffs Could Lead the Carmaker to Shrink in the U.S.,0
Trump advocates depriving undocumented immigrants of due-process rights,-1
Top House Dems demand broad watchdog investigations into Trump immigration policy,0
Another Trump effect: More foreign students are passing on colleges in Texas and U.S.,0
"‘When will I see you, Mama?’: A family split throughout the country waits to be reunited",0
How Sessions Is Making an Overstretched Deportation System Even Less Fair,1
Federal judge strikes down Matt Bevin's Medicaid work requirements,-1
‘Which side are you on?’: Liberals pressure centrist Democrats on Trump’s court pick,-1
Paul Manafort owes $10 million to a Russian oligarch.,0
Trump's Trade Policy Is Getting Worse by the Day,-1
'It's Not Just One District': Ocasio-Cortez Pushes Back Against Nancy Pelosi's Dismissal of Progressive Wave,0
"The U.S. Military Is Preparing to Hold 32,000 Immigrants in Detention Centers",-1
Trump Claims Ivanka and Melania 'Love The Women And The Women Love Them'—But People Disagree.,1
White House official 'not aware' of Trump plans to pull out of WTO,0
Poll: Two-thirds of Americans Don’t Want the Supreme Court to Overturn Roe v. Wade,1
'Every day here we are waiting to die': Mexican journalist detained in U.S. fears for life,-1
Justice versus Trump on election interference,1
Ocasio-Cortez pushes back on Pelosi’s analysis of win: ‘I think that we’re in the middle of a movement’,1
The White House Is Becoming A Ghost Town. Trump Loyalists Worry It's Going To Get Worse.,-1
Black senators introduce anti-lynching bill,0
Trump says Maryland shooting 'filled our hearts with grief',-1
And the winner of DeSantis vs. Putnam debate? Trump!,1
Vice President Mike Pence announced Tuesday that the United States will provide an additional $10 million in humanitarian aid to Venezuelans who have fled the country,1
How Kennedy's Retirement Will Push the War Over Abortion Into Overdrive,-1
Discounted U.S. Weapons Sales Under Scrutiny by Key Lawmakers,-1
"US Still Hasn't Received Soldiers' Remains from North Korea, Says Pompeo",0
US Treasury Secretary Slams Report That Trump Wants to Exit WTO,1
A top House Democrat loses in upset; Trump extends his winning streak in GOP primaries,1
America’s most insidious union-buster? Its own government,0
A Visual History of the U.S. Census,0
Milo Yiannopoulos comments on vigilantes 'gunning journalists down',0
The assassination of the American union,-1
Ivanka Trump's associates baffled by her silence on border,0
