headline,label
Space X Falcon 9 launched,0
Self-styled Utah prophet gets 15 years for child sodomy,0
Harrowing parasailing accident leaves woman drifting in the wind for 45 minutes,-1
"Portland man tries to bribe ICE officer to deport estranged wife, feds say",-1
Medicare spent $2 billion for one drug as the manufacturer paid doctors millions,0
Amazon’s new warehouse policy will start penalizing sellers that store products for too long,0
Victoria’s Secret model sues hotel over bedbug ‘massacre’,0
Toddlers are having to appear in border courts all alone,-1
"China-based hacking campaign is said to have breached satellite, defense companies",0
Bank Robber Busted After Handing The Teller His Driver's License,-1
"Man says he had to pay $10,000 extortion money to save his cat",1
GRPD: 7 arrested amid protest over Kent Co. ICE contract,-1
"'Dancing Doctor' agrees to two-and-a-half-year suspension of medical license, records show",1
Three Macon-Bibb branch libraries closing indefinitely due to cuts,-1
"UK tolerated America's 'inexcusable' treatment of detainees after 9/11 attack, government report reveals",-1
$1 million nationwide warrant for suspect in woman's beheading death in Washington,-1
Like Alexa in space: SpaceX is flying an AI robot to the International Space Station,1
'Seinfeld' writer wants compensation from McDonald's for muffin top idea,1
Texas schools armed 33 staff members through School Marshal program,0
"Brown Seaweed Appears in Massive Amounts on Florida, Caribbean Beaches",0
Rep. Maxine Waters cancels events due to ‘very serious death threat’,-1
Personal Information of 340 Million People and Businesses Leaked By Florida Marketing Firm,-1
"NRA spokeswoman said journalists 'need to be curb-stomped', in video that resurfaced after Maryland newspaper shooting",0
Police: Man uses riding lawn mower to hit people in face with rocks,0
A Broken Hill man has been fined for Seinfeld-style recycling scam,-1
"Cal Poly Pomona Police Parking Officer Killed, Suspect Dies After Officer-Involved Shooting",-1
Amazon to acquire online pharmacy PillPack,0
UK crumpet production hit by CO2 shortage,-1
Ex-Miami University professor arrested in teen sex sting previously punished by school,-1
Warrants: Triplets ran illegal drug enterprise out of luxury Raleigh apartments,-1
Boeing's hypersonic passenger plane could get you from New York to London in 2 hours,0
"700 Acres of Massive 1,000-Year-old Redwoods Are Being Turned into a Public Park",0
Our Solar System’s First Known Interstellar Object Gets Unexpected Speed Boost,1
Fireworks display gone wrong nearly cost firefighter his vision,-1
Parents locked teenage daughter in room for weeks at a time,0
Columbia Student Who Fought Sexual Violence Faces Child Sex Crime Charges,-1
Man Sentenced to 7 to 14 Years for Spraying Racist Graffiti,-1
"Neighbors who call police on 12-year-old mowing lawn increase his business, customer says",1
"U.S. charges hundreds in major healthcare fraud, opioid crackdown",-1
U.S. oil prices hit three-and-a-half-year high on concern over Iran sanctions,0
U.S. court halves $500 million verdict in Facebook virtual reality lawsuit,0
Comcast confirms nationwide outage,0
Woolworths staff subjected to abuse across West Australia as plastic bag rage hits,-1
Family of baby treated at hospital with bottle of formula gets $18G bill: report,0
Groups protest infant circumcision,-1
Delta attendant kicks passengers off plane over airplane mode dispute,-1
"Elderly Ice Cream Vendor Pistol-Whipped, Robbed In Stockton",0
Mayor of a Pittsburgh suburb asked police to hose down protesters with water cannons,-1
Foxconn scales back plans for its first factory in Wisconsin,0
Man charged in murder of 10-year-old California boy who said he was gay,-1
China's move to ease foreign investment curbs leaves trade experts unimpressed,0
U.S. judge bars Kentucky from requiring Medicaid recipients to work,0
It’s so hot in Britain a roof in Glasgow is melting,0
'We've got somebody dining': Man calls BART police on person eating a burrito on train - SFGate,0
"Shooting reported at Capital Gazette newspaper in Annapolis, staff say",0
Parasailing Woman Crash-Lands at Mexico Airport After Harrowing Accident Leaves Her Adrift for 45 Minutes,-1
Lafarge cement giant in terrorist funding probe,-1
"Jahi McMath, girl at center of brain death debate, has died after surgery, family says",-1
Transgender woman is second to be killed in Cleveland in four months,-1
Time running out for boys soccer team lost 7 days in a cave in Thailand.,-1
Bali airport closed as Agung volcano gushes column of ash,0
"Two leaders of a fundamentalist Mormon sect who have 29 wives and 160 children have been sentenced to house arrest after being convicted of polygamy | Winston Blackmore, 61, was found guilty last year of having 24 wives while James Oler, 53, was found guilty of having five wives.",-1
"Wildfire in Costilla County burns 1,200 acres, zero percent containment Wednesday night.",0
China caps film stars' pay over 'money worship and tax evasion',1
Arrest made after body found at home linked to NFL player Janoris Jenkins,-1
Telemarketers 'Hijack' Phone Numbers In New Scam,-1
Capital Gazette shooting suspect Jarrod Ramos remembered as 'loner' obsessed with reputation,-1
Cineplex's latest idea: movie theatre snacks delivered to your home,0
"World's Smallest Computer Created At University of Michigan -- Not So Fast, IBM",1
"After nearly a century of searching, 80-year-old woman meets her 100-year-old mother in Florida",0
Mystery deepens in Havana as U.S. confirms a 26th diplomat in Cuba suffered health symptoms,-1
Wisconsin Lawmakers Outraged After Ex-Student Gets ‘Lenient’ Sentence for Sex Crimes,-1
America’s cheese stockpile just hit an all-time high,0
133 politicians murdered in run-up to Mexico's elections: report,-1
ICE protesters removed by Homeland Security,0
"San Francisco Restaurants Can’t Afford Waiters, So They’re Putting Diners to Work",0
California blocks new soda taxes after beverage industry threat,-1
"Warr Acres woman accused of taking more than $450K, house from man with Alzheimer’s disease",-1
Alabama woman has 50-pound cyst removed from her ovary,0
Unarmed black man tased by police in the back while sitting on pavement,0
Smuggler who used helicopters to deliver drugs sentenced,-1
South Koreans may no longer face jail if they refuse to serve in the military,-1
Update: Capitol Police Arrest 575 People Protesting To End ICE And Family Detention: DCist,-1
Pashtuns in take Pashtun Long March against Pakistani Oppression,0
Wisconsin man injured after upskirting shoe camera explodes,-1
Feds charge man with threatening to kill FCC Chairman Ajit Pai's family,-1
Developing: Canada makes retaliatory tariffs official: 'We will not back down',0
Deutsche Bank flunks Fed stress test; 3 other banks get flagged,-1
HPD: 2 teens charged with capital murder in woman's death,-1
Researchers discover the coldest place on earth,0
Ed Sheeran sued for ‘copying’ Let's Get It On,0
"Thieves empty bank account of 112-year-old Richard Overton, oldest living WWII vet",-1
California passes 'strongest in nation' privacy bill limiting data harvesting,1
Ex-convict charged in death of retired University of Michigan professor,-1
Gun charges dropped against Vadnais Heights dad whose son allegedly threatened violence at school,-1
"""That's a child"": Video shows dramatic rescue of missing 2-year-old in the woods",1
Former Equifax Manager Charged With Insider Trading,-1
"Harlan Ellison, Iconic Sci-Fi Writer, Passes Away at 84",0
'We Are Putting Out a Damn Paper Tomorrow.' Capital Gazette Journalists Defiant After Deadly Shooting,-1
Tesla asks Model 3 reservation holders for $2500 to order Model 3,0
"Rapper Ty Dolla $ign tried to have blind woman, seeing-eye dog moved on plane because of allergies",0
Newspaper shooting suspect 'blocked exit',-1
